Ad ID,Description,Location,Postcode,Price,Rooms,Size (m²),State,District,Location Quality,Floor,Property Type,Published Date,Rent (€),Address,Numeric District,Link
1466213463,2-zimmer Gemeinde Wohnung VMS 31.10.2024,"Wien, 03. Bezirk, Landstraße",1030.0,500.0,2,48.0,Wien,Wien,1.0,1,Wohnung,2025-03-06 20:43:00+00:00,500.0,Am Modenapark,3.0,https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstraße/2-zimmer-gemeinde-wohnung-vms-31.10.2024-1466213463/
828621730,ATTRAKTIVE und SCHÖNE 2-Zimmer-Wohnung in der Römergasse!,"Wien, 16. Bezirk, Ottakring",1160.0,799.79,2,44.0,Wien,Wien,1.0,1,Wohnung,2025-03-06 19:34:00+00:00,799.79,Römergasse,16.0,https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1160-ottakring/attraktive-und-schöne-2-zimmer-wohnung-in-der-römergasse!-828621730/
1536003267,Gemeindewohnung -Direktvergabe VMD: 31.12.2024,"Wien, 10. Bezirk, Favoriten",1100.0,467.0,2,61.0,Wien,Wien,1.0,1,Wohnung,2025-03-06 19:29:00+00:00,467.0,"Franz-Koci-Straße, 7/2/5",10.0,https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/gemeindewohnung--direktvergabe-vmd:-31.12.2024-1536003267/
792659043,2 Zimmer Wohnung,"Wien, 11. Bezirk, Simmering",1110.0,750.0,2,56.0,Wien,Wien,0.0,,Wohnung,2025-03-06 18:46:00+00:00,750.0,11 bezirk,11.0,https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1110-simmering/2-zimmer-wohnung-792659043/
1507702647,"PROVISIONSFREI für den Mieter! Vogelsanggasse, Hofruhelage, zentrumsnahe 48m² Altbaumiete 3. Stock, Studenten bevorzugt!","Wien, 05. Bezirk, Margareten",1050.0,680.0,2,48.0,Wien,Wien,1.0,3,Wohnung,2025-03-06 18:00:00+00:00,680.0,Vogelsanggasse 32,5.0,https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1050-margareten/provisionsfrei-für-den-mieter!-vogelsanggasse-hofruhelage-zentrumsnahe-48m²-altbaumiete-3.-stock-studenten-bevorzugt!-1507702647/
994031042,"Schöne Neubauwohnung für Singles - 1 Minischlafzimmer, 1 Wohnküche mit Balkon","Wien, 17. Bezirk, Hernals",1170.0,650.0,2,30.0,Wien,Wien,1.0,1,Wohnung,2025-03-06 16:53:00+00:00,650.0,Lacknergasse 2,17.0,https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1170-hernals/schöne-neubauwohnung-für-singles---1-minischlafzimmer-1-wohnküche-mit-balkon-994031042/
2124302366,Wohnung in gepflegter Wohnhausanlage,"Wien, 14. Bezirk, Penzing",1140.0,753.0,2,52.0,Wien,Wien,1.0,1,Wohnung,2025-03-06 16:38:00+00:00,753.0,Rottstraße,14.0,https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1140-penzing/wohnung-in-gepflegter-wohnhausanlage-2124302366/
1615221997,Sonnig und helle Wohnung,"Wien, 14. Bezirk, Penzing",1140.0,726.0,2,57.0,Wien,Wien,,3,Wohnung,2025-03-06 16:25:00+00:00,726.0,Dreyhausenstraße,14.0,https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1140-penzing/sonnig-und-helle-wohnung-1615221997/
1562285608,Unbefristet! 2-Zimmer -Wohnung in der Raaber Bahn Gasse.,"Wien, 10. Bezirk, Favoriten",1100.0,781.26,2,52.0,Wien,Wien,1.0,2,Wohnung,2025-03-06 14:39:00+00:00,781.26,Raaber Bahn Gasse 3-5,10.0,https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/unbefristet!-2-zimmer--wohnung-in-der-raaber-bahn-gasse.-1562285608/
1397772009,Helle Altbauwohnung zum Wohlfühlen,"Wien, 10. Bezirk, Favoriten",1100.0,720.0,2,54.0,Wien,Wien,1.0,,Wohnung,2025-03-06 14:33:00+00:00,720.0,Leibnizgasse 60,10.0,https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/helle-altbauwohnung-zum-wohlfühlen-1397772009/
1773471274,Rembrandtstraße: Augarten - Ruhelage - Geräumige 2 Zimmerwohnung,"Wien, 02. Bezirk, Leopoldstadt",1020.0,730.68,2,71.0,Wien,Wien,1.0,2,Wohnung,2025-03-07 11:56:00+00:00,730.68,,2.0,https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1020-leopoldstadt/rembrandtstraße:-augarten---ruhelage---geräumige-2-zimmerwohnung-1773471274/
1466171694,"Sonnige 53m²-Gemeindewohnung mit Balkon, Prater- & Donaukanalblick - Direktvergabe VMD vor 31.01.2025!","Wien, 03. Bezirk, Landstraße",1030.0,534.62,2,53.0,Wien,Wien,1.0,7,Wohnung,2025-03-07 10:55:00+00:00,534.62,Schnirchgasse 1,3.0,https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstraße/sonnige-53m²-gemeindewohnung-mit-balkon-prater--&-donaukanalblick---direktvergabe-vmd-vor-31.01.2025!-1466171694/
977341521,721 EUR Bruttomiete. sehr gut eingeteilte gepflegte Wohnung,"Wien, 15. Bezirk, Rudolfsheim-Fünfhaus",1150.0,720.88,2,78.0,Wien,Wien,0.65,,Wohnung,2025-03-07 10:49:00+00:00,720.88,,15.0,https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1150-rudolfsheim-fünfhaus/721-eur-bruttomiete.-sehr-gut-eingeteilte-gepflegte-wohnung-977341521/
841840312,Gemeinde Wohnung Direktvergabe,"Wien, 16. Bezirk, Ottakring",1160.0,622.0,3,55.0,Wien,Wien,1.0,3,Wohnung,2025-03-07 08:18:00+00:00,622.0,Paletzgasse 15,16.0,https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1160-ottakring/gemeinde-wohnung-direktvergabe-841840312/
